Field;Tank;Reservoir;Neighb;Parameter;Date;Init_value;Min_value;Max_value;alpha
Oilfield;W6;Carbonate;;Vpi;01.12.2016;97532.35088;0;0;
Oilfield;W7;Carbonate;;Vpi;01.12.2016;312973.8936;0;0;
Oilfield;W8;Carbonate;;Vpi;01.12.2016;585589.037;0;0;
Oilfield;W1;Carbonate;;Vpi;01.12.2016;679124.4091;0;0;
Oilfield;W9;Carbonate;;Vpi;01.12.2016;792049.1154;0;0;
Oilfield;W3;Carbonate;;Vpi;01.12.2016;244740.8;0;0;
Oilfield;W4;Carbonate;;Vpi;01.12.2016;156094.0909;0;0;
Oilfield;W5;Carbonate;;Vpi;01.12.2016;620339.2973;0;0;
Oilfield;W2;Carbonate;;Tconst;01.12.2016;0;0;0;
Oilfield;W6;Carbonate;;Tconst;01.12.2016;0;0;0;
Oilfield;W7;Carbonate;;Tconst;01.12.2016;0;0;0;
Oilfield;W8;Carbonate;;Tconst;01.12.2016;0;0;0;
Oilfield;W1;Carbonate;;Tconst;01.12.2016;0;0;0;
Oilfield;W9;Carbonate;;Tconst;01.12.2016;0;0;0;
Oilfield;W3;Carbonate;;Tconst;01.12.2016;0;0;0;
Oilfield;W4;Carbonate;;Tconst;01.12.2016;0;0;0;
Oilfield;W5;Carbonate;;Tconst;01.12.2016;0;0;0;
Oilfield;W2;Carbonate;;Prod_index;01.12.2016;1;0.001;1;
Oilfield;W6;Carbonate;;Prod_index;01.12.2016;1;0.001;1;
Oilfield;W7;Carbonate;;Prod_index;01.12.2016;1;0.001;1;
Oilfield;W8;Carbonate;;Prod_index;01.12.2016;1;0.001;1;
Oilfield;W1;Carbonate;;Prod_index;01.12.2016;1;0.001;1;
Oilfield;W9;Carbonate;;Prod_index;01.12.2016;1;0.001;1;
Oilfield;W3;Carbonate;;Prod_index;01.12.2016;1;0.001;1;
Oilfield;W4;Carbonate;;Prod_index;01.12.2016;1;0.001;1;
Oilfield;W5;Carbonate;;Prod_index;01.12.2016;1;0.001;1;
Oilfield;W2;Carbonate;;Inj_index;01.12.2016;3;0.001;5;
Oilfield;W6;Carbonate;;Inj_index;01.12.2016;3;0.001;5;
Oilfield;W7;Carbonate;;Inj_index;01.12.2016;3;0.001;5;
Oilfield;W8;Carbonate;;Inj_index;01.12.2016;3;0.001;5;
Oilfield;W1;Carbonate;;Inj_index;01.12.2016;3;0.001;5;
Oilfield;W9;Carbonate;;Inj_index;01.12.2016;3;0.001;5;
Oilfield;W3;Carbonate;;Inj_index;01.12.2016;3;0.001;5;
Oilfield;W4;Carbonate;;Inj_index;01.12.2016;3;0.001;5;
Oilfield;W5;Carbonate;;Inj_index;01.12.2016;3;0.001;5;
Oilfield;W2;Carbonate;;Frac_inj;01.12.2016;1;0;1;
Oilfield;W6;Carbonate;;Frac_inj;01.12.2016;1;0;1;
Oilfield;W7;Carbonate;;Frac_inj;01.12.2016;1;0;1;
Oilfield;W8;Carbonate;;Frac_inj;01.12.2016;1;0;1;
Oilfield;W1;Carbonate;;Frac_inj;01.12.2016;1;0;1;
Oilfield;W9;Carbonate;;Frac_inj;01.12.2016;1;0;1;
Oilfield;W3;Carbonate;;Frac_inj;01.12.2016;1;0;1;
Oilfield;W4;Carbonate;;Frac_inj;01.12.2016;1;0;1;
Oilfield;W5;Carbonate;;Frac_inj;01.12.2016;1;0;1;
Oilfield;W2;Carbonate;;Min_Pres;01.12.2016;1;0;0;
Oilfield;W6;Carbonate;;Min_Pres;01.12.2016;1;0;0;
Oilfield;W7;Carbonate;;Min_Pres;01.12.2016;1;0;0;
Oilfield;W8;Carbonate;;Min_Pres;01.12.2016;1;0;0;
Oilfield;W1;Carbonate;;Min_Pres;01.12.2016;1;0;0;
Oilfield;W9;Carbonate;;Min_Pres;01.12.2016;1;0;0;
Oilfield;W3;Carbonate;;Min_Pres;01.12.2016;1;0;0;
Oilfield;W4;Carbonate;;Min_Pres;01.12.2016;1;0;0;
Oilfield;W5;Carbonate;;Min_Pres;01.12.2016;1;0;0;
Oilfield;W2;Carbonate;;Max_Pres;01.12.2016;500;0;0;
Oilfield;W6;Carbonate;;Max_Pres;01.12.2016;500;0;0;
Oilfield;W7;Carbonate;;Max_Pres;01.12.2016;500;0;0;
Oilfield;W8;Carbonate;;Max_Pres;01.12.2016;500;0;0;
Oilfield;W1;Carbonate;;Max_Pres;01.12.2016;500;0;0;
Oilfield;W9;Carbonate;;Max_Pres;01.12.2016;500;0;0;
Oilfield;W3;Carbonate;;Max_Pres;01.12.2016;500;0;0;
Oilfield;W4;Carbonate;;Max_Pres;01.12.2016;500;0;0;
Oilfield;W5;Carbonate;;Max_Pres;01.12.2016;500;0;0;
Oilfield;W2;Carbonate;;muw;01.12.2016;1;0;0;
Oilfield;W6;Carbonate;;muw;01.12.2016;1;0;0;
Oilfield;W7;Carbonate;;muw;01.12.2016;1;0;0;
Oilfield;W8;Carbonate;;muw;01.12.2016;1;0;0;
Oilfield;W1;Carbonate;;muw;01.12.2016;1;0;0;
Oilfield;W9;Carbonate;;muw;01.12.2016;1;0;0;
Oilfield;W3;Carbonate;;muw;01.12.2016;1;0;0;
Oilfield;W4;Carbonate;;muw;01.12.2016;1;0;0;
Oilfield;W5;Carbonate;;muw;01.12.2016;1;0;0;
Oilfield;W2;Carbonate;;muo;01.12.2016;1;0;0;
Oilfield;W6;Carbonate;;muo;01.12.2016;1;0;0;
Oilfield;W7;Carbonate;;muo;01.12.2016;1;0;0;
Oilfield;W8;Carbonate;;muo;01.12.2016;1;0;0;
Oilfield;W1;Carbonate;;muo;01.12.2016;1;0;0;
Oilfield;W9;Carbonate;;muo;01.12.2016;1;0;0;
Oilfield;W3;Carbonate;;muo;01.12.2016;1;0;0;
Oilfield;W4;Carbonate;;muo;01.12.2016;1;0;0;
Oilfield;W5;Carbonate;;muo;01.12.2016;1;0;0;
Oilfield;W2;Carbonate;;krw_max;01.12.2016;1;0;0;
Oilfield;W6;Carbonate;;krw_max;01.12.2016;1;0;0;
Oilfield;W7;Carbonate;;krw_max;01.12.2016;1;0;0;
Oilfield;W8;Carbonate;;krw_max;01.12.2016;1;0;0;
Oilfield;W1;Carbonate;;krw_max;01.12.2016;1;0;0;
Oilfield;W9;Carbonate;;krw_max;01.12.2016;1;0;0;
Oilfield;W3;Carbonate;;krw_max;01.12.2016;1;0;0;
Oilfield;W4;Carbonate;;krw_max;01.12.2016;1;0;0;
Oilfield;W5;Carbonate;;krw_max;01.12.2016;1;0;0;
Oilfield;W2;Carbonate;;kro_max;01.12.2016;1;0;0;
Oilfield;W6;Carbonate;;kro_max;01.12.2016;1;0;0;
Oilfield;W7;Carbonate;;kro_max;01.12.2016;1;0;0;
Oilfield;W8;Carbonate;;kro_max;01.12.2016;1;0;0;
