Field;Tank;Reservoir;Neighb;Parameter;Date;Init_value;Min_value;Max_value;alpha;Calc_value
Oilfield;W3;Carbonate;W3;Swi;01.12.2016;0.55;0.0;0.0;;0.55
Oilfield;W4;Carbonate;W4;Swi;01.12.2016;0.45;0.0;0.0;;0.45
Oilfield;W5;Carbonate;W5;Swi;01.12.2016;0.63;0.0;0.0;;0.63
Oilfield;W6;Carbonate;W6;Swi;01.12.2016;0.43;0.0;0.0;;0.43
Oilfield;W7;Carbonate;W7;Swi;01.12.2016;0.53;0.0;0.0;;0.53
Oilfield;W8;Carbonate;W8;Swi;01.12.2016;0.73;0.0;0.0;;0.73
Oilfield;W9;Carbonate;W9;Swi;01.12.2016;0.74;0.0;0.0;;0.74
Oilfield;AQ;Carbonate;W1;Tconn;01.12.2016;10.0;0.0;300.0;1.0;0.6374617141119574
Oilfield;AQ;Carbonate;W2;Tconn;01.12.2016;10.0;0.0;300.0;1.0;2.470179960212364e-17
Oilfield;AQ;Carbonate;W3;Tconn;01.12.2016;10.0;0.0;300.0;1.0;0.10660668310550724
Oilfield;AQ;Carbonate;W5;Tconn;01.12.2016;10.0;0.0;300.0;1.0;0.7628951297441458
Oilfield;AQ;Carbonate;W7;Tconn;01.12.2016;10.0;0.0;300.0;1.0;1.4371171809229612e-19
Oilfield;AQ;Carbonate;W8;Tconn;01.12.2016;10.0;0.0;300.0;1.0;1.1534933978096604e-10
Oilfield;AQ;Carbonate;W9;Tconn;01.12.2016;10.0;0.0;300.0;1.0;0.7569714633860253
Oilfield;W1;Carbonate;W2;Tconn;01.12.2016;10.0;0.0;300.0;1.0;0.6792928826715572
Oilfield;W2;Carbonate;W3;Tconn;01.12.2016;10.0;0.0;300.0;1.0;0.3429503854687995
Oilfield;W3;Carbonate;W4;Tconn;01.12.2016;10.0;0.0;300.0;1.0;9.204210980397804
Oilfield;W3;Carbonate;W5;Tconn;01.12.2016;10.0;0.0;300.0;1.0;3.005860393732881e-50
Oilfield;W4;Carbonate;W5;Tconn;01.12.2016;10.0;0.0;300.0;1.0;1.0415779108154254e-13
Oilfield;W4;Carbonate;W6;Tconn;01.12.2016;10.0;0.0;300.0;1.0;1.0407195404062426e-29
Oilfield;W4;Carbonate;W7;Tconn;01.12.2016;10.0;0.0;300.0;1.0;1.5622340789392923
